Movie,Month,Day,Release Year,Budget ($m),Domestic Gross ($m),Worldwide Gross ($m),Foreign Gross ($m)
Steve Jobs,Oct,9,2015,30,17.766658,35.403508,17.63685
The Lazarus Effect,Feb,27,2015,5,25.80157,35.341814,9.540244
Courageous,Sep,30,2011,2,34.522221,35.185884,0.663663
Die Welle,May,27,2011,7.25,0,35.122948,35.122948
The November Man,Aug,27,2014,15,25.018119,34.820335,9.802216
Endless Love,Feb,14,2014,20,23.43825,34.614964,11.176714
Broken City,Jan,18,2013,35,19.701164,34.480045,14.778881
Zambezia,Dec,31,2012,20,0,34.454631,34.454631
You Will Meet a Tall Dark Stranger,Sep,22,2010,15,3.247816,34.247816,31
Viy,Jun,30,2015,26,0,34.24677,34.24677
My Week with Marilyn,Nov,23,2011,10,14.597405,34.240572,19.643167
Lockout,Apr,13,2012,20,14.326865,33.943049,19.616184
Self/Less,Jul,10,2015,26,12.279691,33.713827,21.434136
Whiplash,Oct,10,2014,3.3,13.092006,33.474334,20.382328
2016: Obama’s America,Jul,13,2012,2.5,33.349941,33.349941,0
Get on Up,Aug,1,2014,30,30.569935,33.315804,2.745869
Victor Frankenstein,Nov,25,2015,40,5.775076,33.175076,27.4
The Perks of Being a Wallflower,Sep,21,2012,13,17.742948,33.069303,15.326355
Seven Psychopaths,Oct,12,2012,13.5,15.024049,33.035736,18.011687
Inside Llewyn Davis,Dec,6,2013,11,13.248209,32.943247,19.695038
Eye in the Sky,Mar,11,2016,13,18.704596,32.848185,14.143589
You Again,Sep,24,2010,20,25.702053,32.838945,7.136892
Katy Perry: Part of Me,Jul,5,2012,12,25.326071,32.700439,7.374368
Burnt,Oct,30,2015,20,13.651946,32.632668,18.980722
Leap Year,Jan,8,2010,19,25.91892,32.61892,6.7
Kevin Hart: Let Me Explain,Jul,3,2013,2.5,32.244051,32.327255,0.083204
Blair Witch,Sep,16,2016,10,19.58113,32.29613,12.715
Project Almanac,Jan,30,2015,12,22.348241,32.248241,9.9
Shark Night 3D,Sep,2,2011,25,18.877153,32.209741,13.332588
Mud,Apr,26,2013,10,21.590086,31.556959,9.966873
Premium Rush,Aug,24,2012,35,20.275446,31.393201,11.117755
Movie 43,Jan,25,2013,10,8.840453,31.164747,22.324294
Joyful Noise,Jan,13,2012,27.5,30.932113,31.157914,0.225801
Spring Breakers,Mar,15,2013,5,14.124286,31.149251,17.024965
The Water Diviner,Apr,24,2015,22.5,4.200117,30.864649,26.664532
Secret in Their Eyes,Nov,20,2015,20,20.180155,30.808558,10.628403
The Raven,Apr,27,2012,26,16.008272,30.601801,14.593529
Mortdecai,Jan,23,2015,60,7.696134,30.396134,22.7
What's Your Number?,Sep,30,2011,20,14.011084,30.163785,16.152701
When the Game Stands Tall,Aug,22,2014,15,30.127963,30.138912,0.010949
Metegol,Dec,31,2013,22,0,30.051905,30.051905
The Losers,Apr,23,2010,25,23.591432,29.86384,6.272408
La grande bellezza,Nov,15,2013,12,2.883879,29.549145,26.665266
When the Bough Breaks,Sep,9,2016,10,28.86588,29.301205,0.435325
Draft Day,Apr,11,2014,25,28.842237,29.276904,0.434667
Case 39,Oct,1,2010,27,13.261851,28.773827,15.511976
The Brothers Grimsby,Mar,11,2016,35,6.864016,28.748384,21.884368
Let Me In,Oct,1,2010,20,12.134935,28.270399,16.135464
The 33,Nov,13,2015,25,12.227722,28.090896,15.863174
Cirque du Soleil: Worlds Away,Dec,21,2012,25,12.512862,28.012862,15.5
The Best of Me,Oct,17,2014,26,26.766213,27.866213,1.1
Dark Skies,Feb,22,2013,3.5,17.418667,27.704111,10.285444
The Thing,Oct,14,2011,38,16.92867,27.501814,10.573144
Mandela: Long Walk to Freedom,Nov,29,2013,35,8.323085,27.480015,19.15693
Ramona and Beezus,Jul,23,2010,15,26.167002,27.469621,1.302619
Norm of the North,Jan,15,2016,18,17.062499,27.426111,10.363612
The Incredible Burt Wonderstone,Mar,15,2013,32,22.537881,27.392609,4.854728
Un monstre à Paris,Apr,16,2013,40,0,27.000381,27.000381
Splice,Jun,4,2010,30,17.01017,26.857459,9.847289
The Way Way Back,Jul,5,2013,5,21.50269,26.85381,5.35112
Baahubali: The Beginning,Jul,10,2015,40,6.738,26.738,20
